,max_player_load_per_min,rolling_load,stress_score,High IMA
0,85.0,,,85.0
1,23.0,,,23.0
2,45.0,,,45.0
3,34.0,,,34.0
4,45.0,46.4,-1.3999999999999986,45.0
5,31.0,35.6,-4.600000000000001,31.0
6,72.0,45.4,26.6,72.0
7,42.0,44.8,-2.799999999999997,42.0
8,37.0,45.4,-8.399999999999999,37.0
9,37.0,43.8,-6.799999999999997,37.0
10,46.0,46.8,-0.7999999999999972,46.0
11,20.0,36.4,-16.4,20.0
12,19.0,31.8,-12.8,19.0
13,33.0,31.0,2.0,33.0
14,37.0,31.0,6.0,37.0
15,36.0,29.0,7.0,36.0
16,5.0,26.0,-21.0,5.0
17,44.0,31.0,13.0,44.0
18,44.0,33.2,10.799999999999997,44.0
19,40.0,33.8,6.200000000000003,40.0
20,18.0,30.2,-12.2,18.0
21,18.0,32.8,-14.799999999999997,18.0
22,11.0,26.2,-15.2,11.0
23,29.0,23.2,5.800000000000001,29.0
24,45.0,24.2,20.8,45.0
25,33.0,27.2,5.800000000000001,33.0
26,28.0,29.2,-1.1999999999999993,28.0
27,,,,
28,7.0,,,7.0
29,50.0,,,50.0
30,34.0,,,34.0
31,64.0,,,64.0
32,48.0,40.6,7.399999999999999,48.0
33,34.0,46.0,-12.0,34.0
34,23.0,40.6,-17.6,23.0
35,27.0,39.2,-12.200000000000003,27.0
36,44.0,35.2,8.799999999999997,44.0
37,12.0,28.0,-16.0,12.0
38,74.0,36.0,38.0,74.0
39,7.0,32.8,-25.799999999999997,7.0
40,59.0,39.2,19.799999999999997,59.0
41,75.0,45.4,29.6,75.0
42,36.0,50.2,-14.200000000000003,36.0
43,63.0,48.0,15.0,63.0
44,30.0,52.6,-22.6,30.0
45,27.0,46.2,-19.200000000000003,27.0
46,31.0,37.4,-6.399999999999999,31.0
47,54.0,41.0,13.0,54.0
48,32.0,34.8,-2.799999999999997,32.0
49,,,,
50,98.0,,,98.0
51,28.0,,,28.0
52,21.0,,,21.0
53,47.0,,,47.0
54,14.0,41.6,-27.6,14.0
55,81.0,38.2,42.8,81.0
56,31.0,38.8,-7.799999999999997,31.0
57,52.0,45.0,7.0,52.0
58,62.0,48.0,14.0,62.0
59,39.0,53.0,-14.0,39.0
60,21.0,41.0,-20.0,21.0
61,29.0,40.6,-11.600000000000001,29.0
62,53.0,40.8,12.200000000000003,53.0
63,30.0,34.4,-4.399999999999999,30.0
64,45.0,35.6,9.399999999999999,45.0
65,35.0,38.4,-3.3999999999999986,35.0
66,54.0,43.4,10.600000000000001,54.0
67,25.0,37.8,-12.799999999999997,25.0
68,41.0,40.0,1.0,41.0
69,38.0,38.6,-0.6000000000000014,38.0
70,0.0,31.6,-31.6,0.0
